local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall, bleu-1, bleu-2, bleu-3, bleu-4
4133,0.30266343459910655,0.19936204146730463,0.628140703517588,0.10540012714389675,0.06443914081145585,0.2892857142857143,0.26392251450225424,0.17384370015948963,0.5477386934673367,0.14430785676109031,0.06363636363636363,0.03210272873194221,0.020877944325481797
4134,0.33027522493392814,0.2465753424657534,0.5,0.1324999957507814,0.09549549549549549,0.2163265306122449,0.3009174267687905,0.22465753424657534,0.45555555555555555,0.2546353522867738,0.1014851485148515,0.05452292441140025,0.033498759305210915
4135,0.2628726250241626,0.1741472172351885,0.5359116022099447,0.10146041159245457,0.06534653465346535,0.2268041237113402,0.2493224895228076,0.1651705565529623,0.5082872928176796,0.1495271867612293,0.06031933767001774,0.027810650887573965,0.017169923031379514
4136,0.21794019634882622,0.13333333333333333,0.5963636363636363,0.061626427157373154,0.03558327219369039,0.22985781990521326,0.2073089671129458,0.12682926829268293,0.5672727272727273,0.10693792383933232,0.043569006000521784,0.01905010438413361,0.014095536413469065
4137,0.2611683811469663,0.1737142857142857,0.5259515570934256,0.0902255605683081,0.05725190839694656,0.2127659574468085,0.24054982444593534,0.16,0.4844290657439446,0.17641509433962263,0.06465313827277018,0.03399433427762041,0.026452527161076995
4138,0.4195121904950625,0.32950191570881227,0.5771812080536913,0.22082018494397404,0.16166281755196305,0.3482587064676617,0.4048780441535991,0.31800766283524906,0.5570469798657718,0.27938931297709924,0.1437308868501529,0.09494640122511487,0.07822085889570554
4139,0.395454541005062,0.29692832764505117,0.5918367346938775,0.1527165890253817,0.10947368421052632,0.2524271844660194,0.3590909046414257,0.2696245733788396,0.5374149659863946,0.2867981790591806,0.13069908814589665,0.076103500761035,0.05792682926829267
414,0.2868525846700847,0.3103448275862069,0.26666666666666666,0.08955223386054828,0.1,0.08108108108108109,0.2470119472198855,0.2672413793103448,0.22962962962962963,0.4245556426612874,0.12067373812212884,0.051975902919745486,0.030471634877572727
4140,0.16805324257262577,0.09483568075117371,0.7372262773722628,0.04756047414047494,0.025835189309576838,0.29896907216494845,0.15474209448610332,0.08732394366197183,0.6788321167883211,0.06329497274379163,0.03059678885186307,0.012424242424242426,0.008487420430433464
4141,0.2237017270682854,0.15356489945155394,0.4117647058823529,0.0422420760256602,0.027571580063626724,0.09027777777777778,0.210386147840589,0.14442413162705667,0.3872549019607843,0.1685761047463175,0.03357903357903357,0.008196721311475409,0.004922067268252665
4142,0.3534482710586356,0.2949640287769784,0.44086021505376344,0.16422286928836194,0.12844036697247707,0.22764227642276422,0.31896551243794596,0.26618705035971224,0.3978494623655914,0.3169014084507042,0.13780918727915195,0.06382978723404255,0.03202846975088968
4143,0.25648414605598424,0.172147001934236,0.5028248587570622,0.045060655294597594,0.02841530054644809,0.1087866108786611,0.23054754663235313,0.15473887814313347,0.4519774011299435,0.15748031496062992,0.04097714736012608,0.008675078864353314,0.0031570639305445927
4144,0.27493916922135203,0.17823343848580442,0.601063829787234,0.12402088493620013,0.07450980392156863,0.36964980544747084,0.2627737190996975,0.17034700315457413,0.574468085106383,0.14210526315789473,0.08425487098472882,0.06691253951527924,0.06167633104902477
