local_file_weight, local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall, bleu-1, bleu-2, bleu-3. bleu-4
2,1,0.36228287373852436,0.2885375494071146,0.4866666666666667,0.12159999550689299,0.09223300970873786,0.1784037558685446,0.32754341964423156,0.2608695652173913,0.44,0.302536231884058,0.11433756805807622,0.056363636363636366,0.03460837887067395
2,10,0.35436892755207844,0.26838235294117646,0.5214285714285715,0.15339232617641696,0.10970464135021098,0.2549019607843137,0.33980582075596194,0.25735294117647056,0.5,0.2593123209169054,0.11621233859397419,0.06752873563218391,0.047482014388489216
2,2,0.33173076518780054,0.23076923076923078,0.5897435897435898,0.12364760057380526,0.08247422680412371,0.24691358024691357,0.29807691903395434,0.20735785953177258,0.5299145299145299,0.16496018202502843,0.06719817767653759,0.03192702394526795,0.018264840182648404
2,3,0.3450704180829697,0.25925925925925924,0.5157894736842106,0.165853654298037,0.11929824561403508,0.272,0.3309859110407162,0.24867724867724866,0.49473684210526314,0.25888324873096447,0.11450381679389313,0.08163265306122448,0.06393861892583122
2,4,0.24769433138506566,0.1558872305140962,0.6025641025641025,0.06776989479514231,0.04060434372049103,0.20476190476190476,0.21870882413868886,0.13764510779436154,0.532051282051282,0.1378066378066378,0.04837545126353791,0.02167630057803468,0.008676789587852495
2,5,0.2671755686390654,0.18134715025906736,0.5072463768115942,0.08333332978533965,0.05415162454873646,0.18072289156626506,0.23664121749402717,0.16062176165803108,0.4492753623188406,0.21203438395415472,0.0574712643678161,0.028818443804034585,0.020231213872832374
2,6,0.4110854454104507,0.36929460580912865,0.4635416666666667,0.1460674109642487,0.12009237875288684,0.1863799283154122,0.36489606896703275,0.3278008298755187,0.4114583333333333,0.30657894736842106,0.11067193675889331,0.043535620052770445,0.021136063408190228
2,7,0.4298507413011361,0.39779005524861877,0.4675324675324675,0.12916666178550365,0.11191335740072202,0.15270935960591134,0.4119402935399421,0.3812154696132597,0.44805194805194803,0.3972602739726027,0.12362637362637363,0.04958677685950414,0.03038674033149172
2,8,0.3999999955061984,0.30344827586206896,0.5866666666666667,0.19074333398433033,0.13229571984435798,0.3417085427135678,0.37272726823347113,0.2827586206896552,0.5466666666666666,0.22305764411027568,0.10790464240903386,0.07286432160804021,0.05786163522012578
2,9,0.35897435418955564,0.2972972972972973,0.45294117647058824,0.14953270552498535,0.12244897959183673,0.192,0.32167831689351833,0.26640926640926643,0.40588235294117647,0.3578336557059962,0.13372093023255813,0.07961165048543689,0.060311284046692615
